id_transaccion,id_cliente,fecha_transaccion,categoria_producto,cantidad,precio_unitario,descuento_pct,canal_venta,monto_compra,nombre,edad,ciudad,fecha_registro,categoria_favorita,ingreso_estimado,ciudad_normalizada,segmento_cliente,canal_adquisicion,metodo_pago_preferido,score_fidelizacion,region,macrozona
50001,1294,2024-01-20,Moda,4,70480.46,0.15,Web,239633.56,Diego Martínez,,Santiago,2024-11-13,Libros,855625.0,santiago,Bronce,Orgánico,Tarjeta crédito,67.0,RegiÃ³n Metropolitana,Centro
50002,1024,2024-07-07,Hogar,5,9401.74,0.15,Marketplace,39957.39,María Díaz,50.0,Rancagua,2022-01-25,Deportes,935175.0,rancagua,Bronce,Orgánico,Tarjeta débito,98.0,RegiÃ³n de O'Higgins,Centro
50003,1222,2024-05-31,Hogar,2,241376.52,0.05,Web,458615.39,Vicente Rojas,44.0,Temuco,2022-12-06,Hogar,1224321.0,temuco,Oro,Referido,PayPal,83.0,RegiÃ³n de La AraucanÃ­a,Sur
50004,1100,2024-02-13,Libros,1,80071.35,0.0,App,80071.35,Benjamín González,33.0,Valparaíso,2024-09-24,Moda,676564.0,valparaiso,Premium,Referido,PayPal,96.0,,
50005,1112,2024-06-21,Moda,5,66575.01,0.1,App,299587.54,Vicente Rojas,52.0,Santiago,2024-10-20,Libros,514152.0,santiago,Premium,Orgánico,PayPal,91.0,RegiÃ³n Metropolitana,Centro
50006,1076,2024-06-07,Deportes,2,53614.88,0.1,Web,96506.78,Camila López,44.0,Puerto Montt,2024-04-02,Deportes,721760.0,puerto montt,Oro,Instagram,Tarjeta crédito,86.0,RegiÃ³n de Los Lagos,Sur
50007,1030,2024-05-18,Hogar,3,29677.98,0.15,Web,75678.85,Daniela Rojas,62.0,Valparaíso,2024-05-17,Deportes,910769.0,valparaiso,premium,Orgánico,Transferencia,53.0,,
50008,1063,2024-01-04,Tecnología,4,200798.11,0.05,Web,763032.82,Diego Rodríguez,19.0,Santiago,2024-09-28,Moda,851974.0,santiago,Oro,Referido,Transferencia,68.0,RegiÃ³n Metropolitana,Centro
50009,1222,2024-07-27,Moda,3,72437.86,0.05,App,206447.9,Vicente Rojas,44.0,Temuco,2022-12-06,Hogar,1224321.0,temuco,Oro,Referido,PayPal,83.0,RegiÃ³n de La AraucanÃ­a,Sur
50010,1222,2024-08-08,Tecnología,4,88917.17,0.15,App,302318.38,Vicente Rojas,44.0,Temuco,2022-12-06,Hogar,1224321.0,temuco,Oro,Referido,PayPal,83.0,RegiÃ³n de La AraucanÃ­a,Sur
50011,1251,2024-12-06,Deportes,4,106482.32,0.2,App,340743.42,María Rojas,30.0,Valparaíso,2023-01-01,Libros,993285.0,valparaiso,Premium,Google Ads,Transferencia,46.0,,
50012,1141,2024-04-23,Libros,3,53302.0,0.1,App,143915.4,Matías Fuentes,56.0,Temuco,2023-03-04,Hogar,777672.0,temuco,Plata,Google Ads,Tarjeta débito,44.0,RegiÃ³n de La AraucanÃ­a,Sur
