id_transaccion,id_cliente,fecha_transaccion,categoria_producto,cantidad,precio_unitario,descuento_pct,canal_venta,monto_compra,nombre,edad,ciudad,fecha_registro,categoria_favorita,ingreso_estimado
50001,1294,2024-01-20,Moda,4,70480.46,0.15,Web,239633.56,Diego Martínez,,Santiago,2024-11-13,Libros,855625.0
50002,1024,2024-07-07,Hogar,5,9401.74,0.15,Marketplace,39957.39,María Díaz,50.0,Rancagua,2022-01-25,Deportes,935175.0
50003,1222,2024-05-31,Hogar,2,241376.52,0.05,Web,458615.39,Vicente Rojas,44.0,Temuco,2022-12-06,Hogar,1224321.0
50004,1100,2024-02-13,Libros,1,80071.35,0.0,App,80071.35,Benjamín González,33.0,Valparaíso,2024-09-24,Moda,676564.0
50005,1112,2024-06-21,Moda,5,66575.01,0.1,App,299587.54,Vicente Rojas,52.0,Santiago,2024-10-20,Libros,514152.0
50006,1076,2024-06-07,Deportes,2,53614.88,0.1,Web,96506.78,Camila López,44.0,Puerto Montt,2024-04-02,Deportes,721760.0
50007,1030,2024-05-18,Hogar,3,29677.98,0.15,Web,75678.85,Daniela Rojas,62.0,Valparaíso,2024-05-17,Deportes,910769.0
50008,1063,2024-01-04,Tecnología,4,200798.11,0.05,Web,763032.82,Diego Rodríguez,19.0,Santiago,2024-09-28,Moda,851974.0
50009,1222,2024-07-27,Moda,3,72437.86,0.05,App,206447.9,Vicente Rojas,44.0,Temuco,2022-12-06,Hogar,1224321.0
50010,1222,2024-08-08,Tecnología,4,88917.17,0.15,App,302318.38,Vicente Rojas,44.0,Temuco,2022-12-06,Hogar,1224321.0
50011,1251,2024-12-06,Deportes,4,106482.32,0.2,App,340743.42,María Rojas,30.0,Valparaíso,2023-01-01,Libros,993285.0
50012,1141,2024-04-23,Libros,3,53302.0,0.1,App,143915.4,Matías Fuentes,56.0,Temuco,2023-03-04,Hogar,777672.0
50013,1199,2024-09-25,Libros,2,179478.01,0.1,App,323060.42,Fernanda Sepúlveda,42.0,Valparaíso,2023-08-23,Hogar,1071786.0
50014,1183,2024-12-30,Deportes,1,192489.77,0.05,Web,182865.28,Juan Hernández,24.0,Valparaíso,2022-12-15,Tecnología,871378.0
50015,1090,2024-09-23,Libros,5,226702.84,0.0,Marketplace,1133514.2,Diego González,60.0,Concepción,2023-08-04,Libros,805526.0
50016,1120,2024-10-28,Tecnología,3,143479.59,0.05,App,408916.83,Catalina Rojas,40.0,Antofagasta,2022-02-15,Moda,812331.0
50017,1114,2024-06-11,Hogar,2,180964.85,,web,307640.24,Matías Hernández,23.0,Rancagua,2022-04-12,Moda,458147.0
50018,1006,2024-04-12,Tecnología,2,242531.81,0.0,App,485063.62,Benjamín Díaz,43.0,Concepción,2023-05-06,Deportes,300000.0
50019,1299,2024-07-30,Libros,5,16543.96,0.15,Marketplace,70311.83,Valentina Morales,31.0,Valparaíso,2023-01-31,Hogar,300000.0
50020,1066,2024-08-24,Hogar,2,82475.71,,Marketplace,140208.71,Fernanda Soto,20.0,Antofagasta,2022-05-02,Belleza,914131.0
50021,1295,2024-05-22,Tecnología,3,27335.56,0.2,Marketplace,65605.34,Fernanda Contreras,47.0,Valparaíso,2023-12-15,Belleza,564383.0
50022,1215,2024-01-10,Hogar,1,65720.32,0.1,Web,59148.29,Sofía Díaz,28.0,Rancagua,2022-09-22,Libros,574547.0
