id_transaccion,id_cliente,fecha_transaccion,categoria_producto,cantidad,precio_unitario,descuento_pct,canal_venta,monto_compra,nombre,edad,ciudad,fecha_registro,categoria_favorita,ingreso_estimado,ciudad_normalizada,segmento_cliente,canal_adquisicion,metodo_pago_preferido,score_fidelizacion,region,macrozona,outlier_precio_unitario_iqr,outlier_precio_unitario_zscore,outlier_monto_compra_iqr,outlier_monto_compra_zscore,monto_bruto,monto_descuento,antiguedad_cliente_dias,nivel_fidelizacion,codigo_macrozona,compra_con_descuento,score_fidelizacion_norm,grupo_edad,rango_monto_compra
50001,1294,2024-01-20,Moda,4,70480.46,0.15,Web,239633.56,Diego Martínez,44,Santiago,2024-11-13,Libros,855625.0,santiago,Bronce,Orgánico,Tarjeta crédito,67,RegiÃ³n Metropolitana,Centro,False,False,False,False,281921.84,42288.276000000005,-298,Media,2,Sí,0.45,30-44,Medio
50002,1024,2024-07-07,Hogar,5,9401.74,0.15,Marketplace,39957.39,María Díaz,50,Rancagua,2022-01-25,Deportes,935175.0,rancagua,Bronce,Orgánico,Tarjeta débito,98,RegiÃ³n de O'Higgins,Centro,False,False,False,False,47008.7,7051.304999999999,894,Alta,2,Sí,0.9666666666666667,45-59,Bajo
50003,1222,2024-05-31,Hogar,2,241376.52,0.05,Web,458615.39,Vicente Rojas,44,Temuco,2022-12-06,Hogar,1224321.0,temuco,Oro,Referido,PayPal,83,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,482753.04,24137.652000000002,542,Media,3,Sí,0.7166666666666667,30-44,Alto
50004,1100,2024-02-13,Libros,1,80071.35,0.0,App,80071.35,Benjamín González,33,Valparaíso,2024-09-24,Moda,676564.0,valparaiso,Premium,Referido,PayPal,96,Sin información,Sin información,False,False,False,False,80071.35,0.0,-224,Alta,0,No,0.9333333333333333,30-44,Bajo
50005,1112,2024-06-21,Moda,5,66575.01,0.1,App,299587.54,Vicente Rojas,52,Santiago,2024-10-20,Libros,514152.0,santiago,Premium,Orgánico,PayPal,91,RegiÃ³n Metropolitana,Centro,False,False,False,False,332875.05,33287.505,-121,Alta,2,Sí,0.85,45-59,Alto
50006,1076,2024-06-07,Deportes,2,53614.88,0.1,Web,96506.78,Camila López,44,Puerto Montt,2024-04-02,Deportes,721760.0,puerto montt,Oro,Instagram,Tarjeta crédito,86,RegiÃ³n de Los Lagos,Sur,False,False,False,False,107229.76,10722.976,66,Alta,3,Sí,0.7666666666666667,30-44,Bajo
50007,1030,2024-05-18,Hogar,3,29677.98,0.15,Web,75678.85,Daniela Rojas,62,Valparaíso,2024-05-17,Deportes,910769.0,valparaiso,Premium,Orgánico,Transferencia,53,Sin información,Sin información,False,False,False,False,89033.94,13355.091,1,Baja,0,Sí,0.21666666666666667,60+,Bajo
50008,1063,2024-01-04,Tecnología,4,200798.11,0.05,Web,763032.82,Diego Rodríguez,19,Santiago,2024-09-28,Moda,851974.0,santiago,Oro,Referido,Transferencia,68,RegiÃ³n Metropolitana,Centro,False,False,False,False,803192.44,40159.622,-268,Media,2,Sí,0.4666666666666667,18-29,Muy alto
50009,1222,2024-07-27,Moda,3,72437.86,0.05,App,206447.9,Vicente Rojas,44,Temuco,2022-12-06,Hogar,1224321.0,temuco,Oro,Referido,PayPal,83,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,217313.58000000002,10865.679000000002,599,Media,3,Sí,0.7166666666666667,30-44,Medio
50010,1222,2024-08-08,Tecnología,4,88917.17,0.15,App,302318.38,Vicente Rojas,44,Temuco,2022-12-06,Hogar,1224321.0,temuco,Oro,Referido,PayPal,83,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,355668.68,53350.301999999996,611,Media,3,Sí,0.7166666666666667,30-44,Alto
50011,1251,2024-12-06,Deportes,4,106482.32,0.2,App,340743.42,María Rojas,30,Valparaíso,2023-01-01,Libros,993285.0,valparaiso,Premium,Google Ads,Transferencia,46,Sin información,Sin información,False,False,False,False,425929.28,85185.85600000001,705,Baja,0,Sí,0.1,30-44,Alto
50012,1141,2024-04-23,Libros,3,53302.0,0.1,App,143915.4,Matías Fuentes,56,Temuco,2023-03-04,Hogar,777672.0,temuco,Plata,Google Ads,Tarjeta débito,44,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,159906.0,15990.6,416,Baja,3,Sí,0.06666666666666667,45-59,Medio
50013,1199,2024-09-25,Libros,2,179478.01,0.1,App,323060.42,Fernanda Sepúlveda,42,Valparaíso,2023-08-23,Hogar,1071786.0,valparaiso,Oro,Facebook,Tarjeta crédito,78,Sin información,Sin información,False,False,False,False,358956.02,35895.602000000006,399,Media,0,Sí,0.6333333333333333,30-44,Alto
50014,1183,2024-12-30,Deportes,1,192489.77,0.05,Web,182865.28,Juan Hernández,24,Valparaíso,2022-12-15,Tecnología,871378.0,valparaiso,Oro,Orgánico,Tarjeta débito,44,Sin información,Sin información,False,False,False,False,192489.77,9624.4885,746,Baja,0,Sí,0.06666666666666667,18-29,Medio
50015,1090,2024-09-23,Libros,5,226702.84,0.0,Marketplace,1107260.74625,Diego González,60,Concepción,2023-08-04,Libros,805526.0,concepcion,Premium,Instagram,PayPal,80,Sin información,Sin información,False,False,True,False,1133514.2,0.0,416,Media,0,No,0.6666666666666666,60+,Muy alto
50016,1120,2024-10-28,Tecnología,3,143479.59,0.05,App,408916.83,Catalina Rojas,40,Antofagasta,2022-02-15,Moda,812331.0,antofagasta,Bronce,Instagram,Transferencia,100,RegiÃ³n de Antofagasta,Norte,False,False,False,False,430438.77,21521.938500000004,986,Alta,1,Sí,1.0,30-44,Alto
50017,1114,2024-06-11,Hogar,2,180964.85,0.0,Web,307640.24,Matías Hernández,23,Rancagua,2022-04-12,Moda,458147.0,rancagua,Plata,Referido,Tarjeta crédito,43,RegiÃ³n de O'Higgins,Centro,False,False,False,False,361929.7,0.0,791,Baja,2,No,0.05,18-29,Alto
50018,1006,2024-04-12,Tecnología,2,242531.81,0.0,App,485063.62,Benjamín Díaz,43,Concepción,2023-05-06,Deportes,300000.0,concepcion,Oro,Facebook,Tarjeta crédito,78,Sin información,Sin información,False,False,False,False,485063.62,0.0,342,Media,0,No,0.6333333333333333,30-44,Alto
50019,1299,2024-07-30,Libros,5,16543.96,0.15,Marketplace,70311.83,Valentina Morales,31,Valparaíso,2023-01-31,Hogar,300000.0,valparaiso,Premium,Instagram,Tarjeta crédito,56,Sin información,Sin información,False,False,False,False,82719.79999999999,12407.969999999998,546,Baja,0,Sí,0.26666666666666666,30-44,Bajo
50020,1066,2024-08-24,Hogar,2,82475.71,0.0,Marketplace,140208.71,Fernanda Soto,20,Antofagasta,2022-05-02,Belleza,914131.0,antofagasta,Premium,Orgánico,Tarjeta crédito,84,RegiÃ³n de Antofagasta,Norte,False,False,False,False,164951.42,0.0,845,Media,1,No,0.7333333333333333,18-29,Medio
50021,1295,2024-05-22,Tecnología,3,27335.56,0.2,Marketplace,65605.34,Fernanda Contreras,47,Valparaíso,2023-12-15,Belleza,564383.0,valparaiso,Premium,Referido,PayPal,99,Sin información,Sin información,False,False,False,False,82006.68000000001,16401.336000000003,159,Alta,0,Sí,0.9833333333333333,45-59,Bajo
