id_transaccion,id_cliente,fecha_transaccion,fecha_registro,nombre,edad,grupo_edad,ciudad,region,macrozona,segmento_cliente,canal_adquisicion,canal_venta,categoria_producto,categoria_favorita,cantidad,precio_unitario,descuento_pct,monto_bruto,monto_descuento,monto_compra,ingreso_estimado,score_fidelizacion,nivel_fidelizacion,total_transacciones,gasto_total_cliente,ticket_promedio_cliente,cantidad_total_productos,descuento_promedio_cliente,score_fidelizacion_promedio,ciudad_normalizada,metodo_pago_preferido,outlier_precio_unitario_iqr,outlier_precio_unitario_zscore,outlier_monto_compra_iqr,outlier_monto_compra_zscore,antiguedad_cliente_dias,codigo_macrozona,compra_con_descuento,score_fidelizacion_norm,rango_monto_compra
50001,1294,2024-01-20,2024-11-13,Diego Martínez,44,30-44,Santiago,RegiÃ³n Metropolitana,Centro,Bronce,Orgánico,Web,Moda,Libros,4,70480.46,0.15,281921.84,42288.276000000005,239633.56,855625.0,67,Media,6,2602462.58,433743.76333333337,23,0.08333333333333333,67.0,santiago,Tarjeta crédito,False,False,False,False,-298,2,Sí,0.45,Medio
50002,1024,2024-07-07,2022-01-25,María Díaz,50,45-59,Rancagua,RegiÃ³n de O'Higgins,Centro,Bronce,Orgánico,Marketplace,Hogar,Deportes,5,9401.74,0.15,47008.7,7051.304999999999,39957.39,935175.0,98,Alta,9,2557087.2199999997,284120.8022222222,25,0.08888888888888889,98.0,rancagua,Tarjeta débito,False,False,False,False,894,2,Sí,0.9666666666666668,Bajo
50003,1222,2024-05-31,2022-12-06,Vicente Rojas,44,30-44,Temuco,RegiÃ³n de La AraucanÃ­a,Sur,Oro,Referido,Web,Hogar,Hogar,2,241376.52,0.05,482753.04,24137.652,458615.39,1224321.0,83,Media,6,2204779.97,367463.32833333337,17,0.06666666666666667,83.0,temuco,PayPal,False,False,False,False,542,3,Sí,0.7166666666666667,Alto
50004,1100,2024-02-13,2024-09-24,Benjamín González,33,30-44,Valparaíso,Sin información,Sin información,Premium,Referido,App,Libros,Moda,1,80071.35,0.0,80071.35,0.0,80071.35,676564.0,96,Alta,6,1147085.78,191180.96333333335,12,0.06666666666666667,96.0,valparaiso,PayPal,False,False,False,False,-224,0,No,0.9333333333333332,Bajo
50005,1112,2024-06-21,2024-10-20,Vicente Rojas,52,45-59,Santiago,RegiÃ³n Metropolitana,Centro,Premium,Orgánico,App,Moda,Libros,5,66575.01,0.1,332875.05,33287.505,299587.54,514152.0,91,Alta,2,1138852.23,569426.115,9,0.07500000000000001,91.0,santiago,PayPal,False,False,False,False,-121,2,Sí,0.85,Alto
50006,1076,2024-06-07,2024-04-02,Camila López,44,30-44,Puerto Montt,RegiÃ³n de Los Lagos,Sur,Oro,Instagram,Web,Deportes,Deportes,2,53614.88,0.1,107229.76,10722.976,96506.78,721760.0,86,Alta,3,1475039.67,491679.88999999996,10,0.06666666666666667,86.0,puerto montt,Tarjeta crédito,False,False,False,False,66,3,Sí,0.7666666666666667,Bajo
50007,1030,2024-05-18,2024-05-17,Daniela Rojas,62,60+,Valparaíso,Sin información,Sin información,Premium,Orgánico,Web,Hogar,Deportes,3,29677.98,0.15,89033.94,13355.091,75678.85,910769.0,53,Baja,6,1939118.76,323186.46,15,0.09999999999999999,53.0,valparaiso,Transferencia,False,False,False,False,1,0,Sí,0.2166666666666666,Bajo
50008,1063,2024-01-04,2024-09-28,Diego Rodríguez,19,18-29,Santiago,RegiÃ³n Metropolitana,Centro,Oro,Referido,Web,Tecnología,Moda,4,200798.11,0.05,803192.44,40159.622,763032.82,851974.0,68,Media,5,1363818.13,272763.626,13,0.09,68.0,santiago,Transferencia,False,False,False,False,-268,2,Sí,0.4666666666666667,Muy alto
50009,1222,2024-07-27,2022-12-06,Vicente Rojas,44,30-44,Temuco,RegiÃ³n de La AraucanÃ­a,Sur,Oro,Referido,App,Moda,Hogar,3,72437.86,0.05,217313.58,10865.679000000002,206447.9,1224321.0,83,Media,6,2204779.97,367463.32833333337,17,0.06666666666666667,83.0,temuco,PayPal,False,False,False,False,599,3,Sí,0.7166666666666667,Medio
50010,1222,2024-08-08,2022-12-06,Vicente Rojas,44,30-44,Temuco,RegiÃ³n de La AraucanÃ­a,Sur,Oro,Referido,App,Tecnología,Hogar,4,88917.17,0.15,355668.68,53350.302,302318.38,1224321.0,83,Media,6,2204779.97,367463.32833333337,17,0.06666666666666667,83.0,temuco,PayPal,False,False,False,False,611,3,Sí,0.7166666666666667,Alto
